Sub_County,Neighborhood,sq_mtrs,Bedrooms,Bathrooms,Price
Westlands,General Mathenge,4.0,4.0,4.0,155000
Dagoretti North,Kilimani,300.0,3.0,4.0,100000
Dagoretti North,"Hatheru Rd,Lavington",3.0,3.0,5.0,75000
Dagoretti North,Kilimani,227.0,3.0,4.0,135000
Embakasi,Imara Daima,3.0,3.0,,50000
Westlands,Waiyaki Way,2.0,2.0,,150000
Dagoretti North,"Off Denis Pritt, Kilimani",14.0,2.0,3.0,100000
Westlands,Westlands Area,186.0,3.0,3.0,100000
Thika Road,Thika Road,4.0,4.0,,85000
Dagoretti North,Kilimani,2.0,2.0,2.0,65000
Westlands,"Raphta rd, Rhapta Road",2.0,2.0,2.0,95000
Thindigua,Thindigua,3.0,3.0,3.0,75000
Dagoretti North,Kileleshwa,3.0,3.0,2.0,65000
Westlands,Riverside,1.0,1.0,1.0,85000
Westlands,"Riverside Drive, Riverside",3.0,3.0,3.0,220000
Westlands,Parklands,3.0,3.0,3.0,120000
Westlands,Waiyaki Way,0.0,0.0,1.0,50000
Dagoretti North,"Riara, Lavington",2.0,2.0,2.0,85000
Nyali,"nyali road, nyali road, Nyali Area",90.0,1.0,1.0,12000
Westlands,"Sports Road, Waiyaki Way",0.0,0.0,,13000
Kiambaa,"MUIRU, Ruaka",2.0,2.0,1.0,13000
Kiambaa,Ruaka,0.0,0.0,1.0,13000
Kisauni,"fisharies, mtambo bamburi road, Bamburi",1.0,1.0,1.0,13000
Kiambaa,"SHULE, Ruaka",2.0,2.0,1.0,14000
Kiambaa,Ruaka,2.0,2.0,1.0,15000
Dagoretti South,"Uthiru 87, Waiyaki Way, Uthiru/Ruthimitu",45.0,1.0,1.0,15000
Kiambu Road,Kiambu Road,0.0,0.0,1.0,15000
Roysambu,"Zimmerman, Zimmermann",2.0,2.0,1.0,15000
Kiambaa,"MUCHATHA- NATIONAL OIL, Ruaka",2.0,2.0,2.0,16000
Kasarani,Kasarani Area,1.0,1.0,1.0,16000
Dagoretti South,"Along Kikuyu Road, Uthiru/Ruthimitu",2.0,2.0,1.0,16000
Kajiado North,Ngong,1.0,1.0,1.0,16000
Kiambaa,"Kahigu Road-Ruaka, Ruaka",1.0,1.0,1.0,16000
Dagoretti North,"Kindaruma Road, Kilimani",3.0,3.0,3.0,98000
Westlands,General Mathenge,3.0,3.0,3.0,200000
Kasarani,"Seasons, Kasarani Area",1.0,1.0,1.0,16000
Kiambaa,Ruaka,1.0,1.0,,16000
Athi River,Athi River Area,1.0,1.0,,17000
Ngong,Sub zone,1.0,1.0,1.0,17000
Kiambaa,"SLAUGHTER, Ruaka",2.0,2.0,2.0,17000
Kiambaa,Ruaka,2.0,2.0,2.0,17000
Kajiado North,"Oloolua Rd, Ngong",2.0,2.0,,17000
Embakasi,Imara Daima,1.0,1.0,,17500
Kiambaa,"Ruaka-Banana, Ruaka",2.0,2.0,2.0,18000
Nyali,"Bombolulu, Mombasa malindi road, Nyali Area",1.0,1.0,1.0,18000
Kikuyu,"THOGOTO, Kikuyu Town",1.0,1.0,1.0,18000
Nyali,"Shanzu serena, Serena, Nyali Area",180.0,1.0,1.0,19000
Westlands,"Getathuru, Kitisuru",1.0,1.0,,20000
Dagoretti South,"Ndwaru, Riruta",2023.0,1.0,1.0,20000
Kasarani,"Kasarani - Mwiki Rd, Kasarani Area",2.0,2.0,,20000
Dagoretti North,Kilimani,2.0,2.0,2.0,70000
Dagoretti North,"Arwings Kodheck, Kilimani",125.0,2.0,2.0,75000
Kiambaa,"Limuru Road, Ruaka",4000.0,1.0,1.0,20000
Ruiru,"BYPASS, EASTERN BYPASS, Ruiru",2.0,2.0,2.0,20000
Kiambaa,Ruaka,1.0,1.0,1.0,20000
Nyali,"50, 3rd avenue nyali, Nyali Area",200.0,1.0,1.0,20000
Kiambaa,"RUMENYE, Ruaka",2.0,2.0,2.0,20000
Nyali,"links road, BEACH ROAD, Nyali Area",1200.0,1.0,1.0,20000
Kajiado North,Ongata Rongai,2.0,2.0,,20000
Kisumu Central,Kisumu Central Area,2.0,2.0,2.0,20000
Kikuyu,Kikuyu Town,2.0,2.0,2.0,22000
Kabete,"Gravilla Estate, Kabete Area",2.0,2.0,1.0,22000
Kajiado North,Ngong,2.0,2.0,1.0,22000
Westlands,Riverside,3.0,3.0,,280000
Kiambaa,"Limuru Road, Ruaka",4000.0,1.0,1.0,23000
Kisumu Central,Kisumu Central Area,2.0,2.0,2.0,23000
Embakasi,Utawala,2.0,2.0,2.0,24000
Langata,Nairobi West,,,,24000
Nyali,"Vok, New Malindi Mombasa road, Frere Town",2.0,2.0,2.0,24000
Thika,"Garissa Road, Thika",3.0,3.0,2.0,25000
Kiambaa,"Limuru Road, Ruaka",4000.0,2.0,,25000
Kiambaa,Ruaka,1.0,1.0,1.0,25000
Embakasi,Imara Daima,2.0,2.0,2.0,25000
Kikuyu,"Thogoto -DAVAN APARTMENT, Thogoto, Kikuyu Town",2.0,2.0,2.0,25000
Dagoretti South,"NGONG ROAD, NGONG ROAD, Dagoretti Corner",2.0,2.0,1.0,25000
Nyali,Nyali Area,2.0,2.0,,25000
Kiambaa,Ruaka,1.0,1.0,,25000
Dagoretti North,"Makueni Rd, Kileleshwa",3.0,3.0,3.0,100000
Kiambaa,"Limuru Road, Ruaka",1012.0,1.0,1.0,25000
Ruiru,"BYPASS, NORTHERN BYPASS, Ruiru",2.0,2.0,1.0,25000
Roysambu,"Garden Estate, Garden Estate",1.0,1.0,,26000
Langata,"Ngumo Central, Ngumo Estate",18.0,1.0,1.0,27000
Kiambaa,Ruaka,2.0,2.0,2.0,28000
Athi River,Syokimau,2.0,2.0,2.0,28000
Nyali,"links road, links road, Nyali Area",100.0,1.0,1.0,28000
Kikuyu,Kikuyu Town,2.0,2.0,2.0,28000
Kiambaa,"Limuru Road, Ruaka",4047.0,2.0,2.0,28000
Mombasa Road,"MOMBASA ROAD, Mombasa Road",2.0,2.0,2.0,28000
Nyali,"Links road, Links road, Ziwa La Ngombe",200.0,2.0,2.0,28000
Nyali,"Nyali beach road, Nyali beach road, Nyali Area",120.0,2.0,2.0,28000
Dagoretti North,"Muringa Road, Kilimani",240.0,5.0,5.0,200000
Kiambaa,"Limuru Road, Ruaka",2.0,2.0,2.0,28000
Kisumu West,Kisumu West,1.0,1.0,1.0,30000
Kiambu Road,"Thindigua, Tsavo Apartments, Kiambu Road",35.0,2.0,1.0,30000
Thika East,"Phase 2, Thika East",9.0,2.0,2.0,30000
Langata,"Karen, Karen",1.0,1.0,1.0,30000
Dagoretti North,Kileleshwa,0.0,0.0,,30000
Kiambaa,"Limuru Road, Ruaka",125.0,2.0,2.0,30000
Kiambaa,"Limuru Road, Ruaka",2.0,2.0,2.0,30000
Westlands,"3rd, 3rd avenue, Parklands",1.0,1.0,1.0,30000
Nyali,"Links road, Links road, Ziwa La Ngombe",2500.0,3.0,3.0,30000
Kilifi South,"mtwapa, Mtwapa",1012.0,2.0,3.0,30000
Ngong Road,"NA, Racecourse, Ngong Road",1.0,1.0,1.0,30000
Westlands,New Kitusuru,2.0,2.0,,30000
Kiambaa,"Limuru Road, Ruaka",6071.0,1.0,1.0,30000
Athi River,Syokimau,3.0,3.0,2.0,30000
Westlands,Thigiri,150.0,2.0,2.0,175000
Westlands,"Riverside Drive, Riverside",3.0,3.0,5.0,145000
Mombasa Road,Mombasa Road,2.0,2.0,2.0,30000
Embakasi,"Maziwa rd, Imara Daima",2.0,2.0,2.0,30000
Kiambu Town,"Mwimuto, Kiambu Town",2.0,2.0,2.0,30000
Kiambaa,Ruaka,2.0,2.0,2.0,32000
Ngong Road,"Ngong Rd, Ngong Road",1.0,1.0,1.0,32000
Kiambaa,"Limuru Road, Ruaka",3035.0,2.0,2.0,32500
Athi River,"Five Star Gardens, 5 Star Gardens Off Airport View Road, Syokimau",105.0,3.0,2.0,33000
Kajiado North,"Near Watakatifu Centre, Kahara Road, Ngong",3.0,3.0,2.0,33000
Eldoret North,"Kisumu Road, Eldoret North",3.0,3.0,3.0,33500
Kiambaa,Ruaka,125.0,,,35000
Kiambu Constituency,"Kiamumbi, Windsor",2.0,2.0,3.0,35000
Langata,Nairobi West,,,,35000
Dagoretti North,Kileleshwa,1.0,1.0,,35000
Kiambu Road,Kiambu Road,120.0,1.0,1.0,35000
Dagoretti North,"Laikipia Road, Kileleshwa",2.0,2.0,2.0,130000
Kiambu Road,"Migaa, Kiambu Road",80.0,1.0,1.0,35000
Embakasi,Imara Daima,2.0,2.0,,35000
Athi River,"Beijing Road, Off Mombasa Road, Syokimau",3.0,3.0,2.0,35000
Embakasi,Imara Daima,2.0,2.0,2.0,35000
Westlands,Lower Kabete,300.0,2.0,2.0,35000
Kiambaa,"Limuru Road, Ruaka",130.0,2.0,2.0,35000
Roysambu,Kahawa Sukari,2.0,2.0,2.0,35000
Langata,Langata Area,55.0,2.0,1.0,35000
Nyali,"Mamba village, Off links road, Nyali Area",2500.0,3.0,2.0,35000
Dagoretti North,"Denis Pritt, Kilimani",0.0,0.0,,35000
Athi River,"BEIJING ROAD, Syokimau",3.0,3.0,2.0,35000
Embakasi,"Nyayo Estate, Baraka/Nyayo",3.0,3.0,2.0,35000
Athi River,Syokimau,3.0,3.0,3.0,35000
Dagoretti North,"Dennis Pritt, Lavington",250.0,3.0,3.0,90000
Dagoretti North,"Lenana road, Kilimani",3.0,3.0,3.0,100000
Kiambaa,"Limuru Road, Ruaka",125.0,2.0,1.0,35000
Starehe,"1, Chambers, Ngara",186.0,2.0,,35000
Nyali,"Mkomani, Mkomani, Mkomani",2000.0,2.0,2.0,35000
Westlands,Westlands Area,2000.0,1.0,1.0,35000
Roysambu,Garden Estate,2.0,2.0,,35000
Athi River,Syokimau,3.0,3.0,2.0,35000
Ruiru,"Tatu City, Unity West, Ruiru",85.0,2.0,2.0,35750
Kiambaa,"Gacharage, Ruaka",2.0,2.0,2.0,37000
Kiambaa,"Hellen Drive, Ruaka",2.0,2.0,2.0,38000
Kiambaa,Ruaka,2.0,2.0,2.0,38000
Westlands,"Thiong'o, Mountain View",2.0,2.0,2.0,38000
Kabete,"Next To Uthiru Genesis Boarding School, Kinoo",3.0,3.0,2.0,38000
Kiambaa,"Ruaka Joyland, Limuru Road, Ruaka",45.0,2.0,2.0,38000
Kiambaa,Ruaka,3.0,3.0,2.0,38000
Westlands,"Riverside Drive, Riverside",2.0,2.0,1.0,38000
Langata,"Kiambere Road, Upper Hill",3.0,3.0,2.0,240000
Dagoretti North,"kikambala road, Kileleshwa",3.0,3.0,3.0,85000
Langata,"Masaba Road, Upper Hill",1.0,1.0,1.0,38000
Langata,"Mbagathi way, Ngumo Estate",2.0,2.0,1.0,39000
Kiambaa,"Limuru road, Ruaka",12000.0,2.0,2.0,40000
Kajiado North,"Maloi Apartments, Masai Lodge Road, Ongata Rongai",120.0,3.0,2.0,40000
Nyali,"Next to premier hospital, Links road, Nyali Area",2500.0,3.0,3.0,40000
Nyali,"Links road, Links road, Nyali Area",2500.0,3.0,3.0,40000
Dagoretti North,"Naivasha Road, Naivasha Road",1.0,1.0,1.0,40000
Kiambaa,"Gacharage, Ruaka",2.0,2.0,2.0,40000
Starehe,Ngara,2.0,2.0,2.0,40000
Langata,"Ole Sangale, Madaraka",3.0,3.0,1.0,40000
Nyali,"beach road, Nyali Area",2500.0,3.0,2.0,40000
Dagoretti North,Naivasha Road,2.0,2.0,2.0,40000
Thindigua,"kiambu road, Thindigua",2.0,2.0,2.0,40000
Dagoretti North,"kilimani, kilimani, Kilimani",1.0,1.0,1.0,40000
Westlands,Parklands,3.0,3.0,1.0,40000
Dagoretti North,Naivasha Road,2.0,2.0,,40000
Kiambaa,Kamiti,90.0,2.0,2.0,40000
Thika Road,Thika Road,2.0,2.0,,40000
Langata,Madaraka,2.0,2.0,1.0,40000
Dagoretti South,"Precious Gardens Estate, Riruta",51.0,3.0,,40000
Kiambaa,Ruaka,100.0,2.0,2.0,40000
Kiambaa,"Limuru Road, Ruaka",4000.0,2.0,2.0,40000
Kiambaa,"Limuru Road, Ruaka",2.0,2.0,2.0,40000
Kiambaa,"Limuru Road, Ruaka",3.0,3.0,2.0,40000
Kiambaa,"Limuru Road, Ruaka",2024.0,3.0,2.0,40000
Makadara,Makadara,2.0,2.0,1.0,40000
Dagoretti North,"Naivasha Road, Naivasha Road",2.0,2.0,2.0,40000
Kiambaa,Ruaka,2.0,2.0,2.0,40000
Dagoretti North,"Mbaazi Avenue, Lavington",1.0,1.0,1.0,40000
Langata,"Karen-Dagoretti Road, Karen",2.0,2.0,2.0,40000
Kangundo,Koma Rock,3.0,3.0,2.0,40000
Athi River,"Mombasa Rd, Syokimau",3.0,3.0,2.0,40000
Kiambaa,Ruaka,3.0,3.0,2.0,42000
Dagoretti South,"Riara Heights, Naivasha Road, Dagoretti Corner",35.0,2.0,1.0,42500
Roysambu,"Garden Estate Rd, Garden Estate",2.0,2.0,2.0,43000
Thika Road,"USIU, SAFARI PARK AREA, Safari Park, Thika Road, Thika Road",2.0,2.0,3.0,43000
Kiambaa,"Ruaka, Ruaka, Ruaka",2.0,2.0,2.0,43000
Dagoretti North,Naivasha Road,2.0,2.0,2.0,43500
Starehe,"Gala lane, Ngara",2.0,2.0,1.0,44000
Mombasa Road,Mombasa Road,2.0,2.0,4.0,44000
Ngong Road,"Ngong Racecourse, Ngong Road",1.0,1.0,1.0,45000
Kiambaa,"Limuru Road, Ruaka",20235.0,2.0,2.0,45000
Dagoretti North,Naivasha Road,3.0,3.0,2.0,45000
Roysambu,"Kamiti Road, Jacaranda Gardens, Kahawa West",95.0,2.0,2.0,45000
Langata,"2, Karen road, Karen",4500.0,2.0,2.0,45000
Dagoretti North,Kileleshwa,2.0,2.0,2.0,45000
Kiambaa,Ruaka,3.0,3.0,,45000
Kiambaa,Ruaka,2.0,2.0,,45000
Westlands,"New Kitisuru, Kitisuru",3.0,3.0,2.0,45000
Langata,Nairobi West,2.0,2.0,,45000
Kasarani,Kasarani Area,3.0,3.0,,45000
Athi River,Syokimau,3.0,3.0,,45000
Starehe,"Chambers Road, Ngara",3.0,3.0,,45000
Thindigua,Thindigua,2.0,2.0,2.0,45000
Kiambaa,Ruaka,2.0,2.0,2.0,45000
Nyali,"Nyali cinemax, Cinemax nyali, Ziwa La Ngombe",2500.0,3.0,2.0,45000
Langata,Langata Area,2.0,2.0,2.0,45000
Dagoretti North,"Chalbi Drive, Lavington",1.0,1.0,1.0,45000
Embakasi,Imara Daima,3.0,3.0,,45000
Athi River,Syokimau,3.0,3.0,4.0,45000
Kiambu Road,Kiambu Road,2.0,2.0,2.0,45000
Kiambu Constituency,"Juja farm road, Juja",4.0,4.0,4.0,45000
Kiambaa,"Limuru Road, Ruaka",4000.0,3.0,2.0,45000
Kiambaa,"Limuru road, Ruaka",1.0,2.0,2.0,45000
Nyali,"Nyali beach road, Beach road nyali, Nyali Area",3.0,3.0,3.0,45000
Ngong Road,Ngong Road,2.0,2.0,1.0,45000
Dagoretti North,"Mandera Road, Kileleshwa",35.0,1.0,1.0,45000
Langata,Langata Area,2.0,2.0,,45000
Dagoretti North,"Denis Pritt, Kilimani",1.0,1.0,1.0,45000
Westlands,Parklands,2.0,2.0,,45000
Langata,Karen,3.0,3.0,,45000
Westlands,"Highridge, Parklands",2.0,2.0,,45000
Westlands,"Thiong'o Road, Mountain View",3.0,3.0,2.0,45000
Westlands,"Thiong'o, Mountain View",3.0,3.0,2.0,45000
Kiambu Road,Kiambu Road,2.0,2.0,2.0,46500
Kiambaa,Ruaka,3.0,3.0,2.0,47000
Langata,"SANGALE ROAD, SANGALE ROAD, Nairobi West",2.0,2.0,,48000
Ngong Road,Ngong Road,2.0,2.0,3.0,48000
Dagoretti North,Kilimani,1.0,1.0,1.0,48000
Langata,"Ole Sangale, Madaraka",48.0,2.0,1.0,48000
Langata,":, Hardy, Karen, Karen",4500.0,2.0,2.0,48000
Langata,"Likoni Road, South B",3.0,3.0,2.0,48000
Kiambaa,"Limuru Road, Ruaka",10118.0,3.0,2.0,50000
Nyali,"Cinemax, Cinemax, Nyali Area",130.0,3.0,3.0,50000
Westlands,Waiyaki Way,2.0,2.0,2.0,50000
Dagoretti North,Kileleshwa,2.0,2.0,,50000
Westlands,"New Kitisuru, Kitisuru",3.0,3.0,2.0,50000
Kiambu Road,"Kiambu Rd, Thindigua, Kiambu Road",3.0,3.0,3.0,50000
Langata,"6, Bukani Road, Nairobi West",150.0,3.0,1.0,50000
Kiambaa,"Kamiti Road, Kamiti",130.0,3.0,2.0,50000
Westlands,Westlands Area,1.0,1.0,,50000
Langata,"Rhino park road, Karen",4500.0,2.0,2.0,50000
Ngong Road,"Racecourse, Ngando Area, Ngong Road",3.0,3.0,2.0,50000
Ngong Road,Ngong Road,3.0,3.0,2.0,50000
Kiambu Road,"Kiambu Rd, Kiambu Road",2.0,2.0,2.0,50000
Kiambu Road,"Fourways Junction Estate, Kiambu Road",80.0,2.0,2.0,50000
Kiambu Road,"Migaa, Kiambu Road",1.0,1.0,1.0,50000
Langata,Nairobi West,3.0,3.0,2.0,50000
Westlands,Rhapta Road,1.0,1.0,1.0,50000
Kiambu Road,"kiambu road, kiambu road, Kiambu Road",300.0,3.0,3.0,50000
Thindigua,Thindigua,3.0,3.0,,50000
Langata,Upper Hill,2.0,2.0,,50000
Embakasi,Imara Daima,3.0,3.0,2.0,50000
Westlands,"1 Ojijo, Parklands",2.0,2.0,1.0,50000
Langata,Upper Hill,1.0,1.0,1.0,50000
Kajiado North,"Zambia Road, Ngong",3.0,3.0,3.0,50000
Kiambu Road,Kiambu Road,3.0,3.0,3.0,50000
Dagoretti North,Kilimani,1.0,1.0,,50000
Kiambaa,Ruaka,3.0,3.0,3.0,51000
Dagoretti North,"riara road, Riara Road",2.0,2.0,2.0,52000
Kiambu Road,"kiambu road, kiambu road, Kiambu Road",300.0,2.0,3.0,52000
Kiambu Road,Kiambu Road,2.0,2.0,2.0,52000
Dagoretti North,"Milimani, Kilimani",2.0,2.0,1.0,52500
Kiambaa,"Limuru Road, Ruaka",20235.0,3.0,3.0,54000
Kiambaa,Ruaka,3.0,3.0,2.0,54000
Dagoretti South,"Four Points Apartments, Uthiru/Ruthimitu",94.0,2.0,2.0,55000
Dagoretti North,Kilimani,2.0,2.0,2.0,55000
Dagoretti North,"Gatundu road , Kileleshwa",1.0,1.0,1.0,55000
Westlands,"Rhaphta Road, Waiyaki Way",3.0,3.0,1.0,55000
Dagoretti North,Kileleshwa,2.0,2.0,2.0,55000
Westlands,Rhapta Road,1.0,1.0,2.0,55000
Kiambu Road,Kiambu Road,3.0,3.0,2.0,55000
Thindigua,"Kiambu Rd, Thindigua",3.0,3.0,3.0,55000
Roysambu,Kahawa West,2.0,2.0,2.0,55000
Dagoretti North,"Wanyee Road, Naivasha Road",3.0,3.0,2.0,55000
Nyali,"Nyali primary, Nyali, Nyali Area",2000.0,2.0,2.0,55000
Kiambu Road,"Fourways Junction Estate, Kiambu Road",2.0,2.0,2.0,55000
Ngong Road,"Ngong Road, Ngong Road",2.0,2.0,1.0,55000
Dagoretti North,Lavington,2.0,2.0,2.0,55000
Dagoretti North,"Denis Pritt, Kilimani",1.0,1.0,1.0,55000
Dagoretti South,"Off Naivasha road, Dagoretti Corner",3.0,3.0,2.0,55000
Nyali,"5th avenue, Citymall Nyali, Nyali Area",2.0,2.0,,55000
Kiambu Road,"kiambu road, kiambu road, Kiambu Road",260.0,3.0,3.0,55000
Westlands,Loresho,107.0,2.0,2.0,55000
Dagoretti North,Kilimani,1.0,1.0,1.0,55000
Kiambaa,"Limuru Road, Ruaka",8094.0,3.0,2.0,55000
Westlands,Loresho,40470.0,2.0,3.0,55000
Dagoretti North,Kilimani,1.0,1.0,2.0,55000
Dagoretti North,"kilimani, kilimani, Kilimani",2.0,2.0,2.0,55000
Dagoretti North,Lavington,3.0,3.0,2.0,55000
Dagoretti North,Kileleshwa,3.0,3.0,3.0,55000
Westlands,"Riverside Mews, Riverside",1.0,1.0,1.0,55000
Westlands,Loresho,2.0,2.0,2.0,55000
Roysambu,Kahawa West,3.0,3.0,2.0,55000
Mombasa CBD,Mombasa CBD,3.0,3.0,2.0,55000
Nyali,Nyali Area,1.0,1.0,2.0,55000
Roysambu,Kahawa West,3.0,3.0,,55000
Kiambu Road,Kiambu Road,3.0,3.0,4.0,55000
Kiambu Road,Kiambu Road,3.0,3.0,,55000
Westlands,Mountain View,2.0,2.0,2.0,55000
Westlands,Kitisuru,110.0,2.0,2.0,55000
Nyali,"Nyali links road, Nyali links road, Nyali Area",3.0,3.0,4.0,55000
Westlands,"Mwimuto, New Kitusuru",2.0,2.0,2.0,55000
Langata,"Karenend Apartments, Karinde, Karen",95.0,2.0,2.0,55000
Westlands,"waiyaki, waiyaki, Loresho",2.0,2.0,2.0,55000
Thindigua,Thindigua,3.0,3.0,3.0,55000
Kiambu Road,"Fourways Junction Estate, Kiambu Road",80.0,2.0,2.0,55000
Dagoretti North,Kileleshwa,3.0,3.0,4.0,55000
Dagoretti North,"Statehouse Crescent, Off Statehouse Road, State House",2.0,2.0,,55000
Dagoretti North,Kileleshwa,2.0,2.0,,55000
Nyali,"nyali, nyali road, Mkomani",2.0,2.0,2.0,55000
Langata,Upper Hill,2.0,2.0,1.0,55000
Kabete,"kinoo 87/Uthiru, Kinoo",3.0,3.0,3.0,55000
Kiambu Road,"Thindigua, Kiambu Road",3.0,3.0,2.0,56000
Thindigua,Thindigua,3.0,3.0,4.0,56000
Roysambu,"Thika Road, Kahawa",4.0,4.0,2.0,57750
Dagoretti North,"Kangundo Road, Kileleshwa",2.0,2.0,,58000
Westlands,"Chinga Dam Apartments, Iregi Road, Parklands",3.0,3.0,2.0,58500
Westlands,"Rhapta road, Rhapta Road",2.0,2.0,,59000
Westlands,Loresho,125.0,3.0,3.0,60000
Dagoretti North,Naivasha Road,3.0,3.0,2.0,60000
Dagoretti North,Kilimani,1.0,1.0,1.0,60000
Dagoretti North,"George Pardmore lane, Kilimani",1.0,1.0,1.0,60000
Ngong,Jamhuri,3.0,3.0,2.0,60000
Dagoretti North,Lavington,2.0,2.0,2.0,60000
Dagoretti North,"1, Riara, Kilimani",2.0,2.0,1.0,60000
Dagoretti North,Kileleshwa,2.0,2.0,,60000
Dagoretti North,Riara Road,2.0,2.0,2.0,60000
Dagoretti North,"Riara, Lavington",2.0,2.0,,60000
Dagoretti North,"Kasuku Center, Kileleshwa",3.0,3.0,2.0,60000
Dagoretti North,"kileleshwa, kileleshwa, Kileleshwa",2.0,2.0,2.0,60000
Dagoretti North,"kilimani, kilimani, Kilimani",2.0,2.0,2.0,60000
Dagoretti North,"lavington, lavington, Lavington",2.0,2.0,2.0,60000
Dagoretti North,"Mandera Road, Kileleshwa",51.0,1.0,1.0,60000
