Sub_County,Neighborhood,sq_mtrs,Bedrooms,Bathrooms,Price
Westlands,"Loresho, Loresho",2.0,2.0,2.0,60000
Dagoretti North,Kilimani,2.0,2.0,,60000
Westlands,Loresho,129.0,3.0,2.0,60000
Westlands,Westlands Area,2.0,2.0,2.0,60000
Dagoretti North,Kileleshwa,2.0,2.0,1.0,60000
Thindigua,Thindigua,8000.0,3.0,2.0,60000
Kiambaa,"KIAMBU ROAD, Ruaka",3.0,3.0,3.0,60000
Westlands,"21 05 04, 02 RA, Waiyaki Way",2.0,2.0,2.0,60000
Westlands,"1, Crescent Road, Parklands",3.0,3.0,2.0,60000
Westlands,"Crescent Road, Parklands",3.0,3.0,2.0,60000
Dagoretti North,Kileleshwa,110.0,2.0,2.0,60000
Dagoretti North,Lavington,3.0,3.0,2.0,60000
Dagoretti North,Kileleshwa,3.0,3.0,,60000
Westlands,Rhapta Road,3.0,3.0,2.0,60000
Langata,Karen,150.0,2.0,2.0,60000
Westlands,Waiyaki Way,3.0,3.0,3.0,60000
Dagoretti North,Kileleshwa,3.0,3.0,2.0,60000
Kiambu Road,Kiambu Road,4.0,4.0,4.0,60000
Langata,Karen,2.0,2.0,1.0,60000
Kiambaa,Ruaka,3.0,3.0,,60000
Starehe,Ngara,3.0,3.0,2.0,60000
Westlands,Rhapta Road,1.0,1.0,1.0,60000
Ngong Road,Ngong Road,89.0,2.0,2.0,60000
Nyali,"Near citymall, Doshi road nyali, Ziwa La Ngombe",2500.0,3.0,2.0,60000
Westlands,Loresho,2.0,2.0,2.0,60000
Dagoretti North,Kileleshwa,2.0,2.0,2.0,60000
Dagoretti North,Kilimani,2.0,2.0,2.0,60000
Kiambu Road,"Fourways Junction, Kiambu Road",120.0,3.0,2.0,60000
Westlands,"Off Rhapta Road, Westlands Area",1.0,1.0,1.0,60000
Westlands,"Loresho, Loresho",2.0,2.0,2.0,60500
Ngong Road,Ngong Road,3.0,3.0,2.0,62000
Westlands,"Off Ojijo, Westlands Area",2.0,2.0,2.0,62500
Dagoretti North,Kilimani,90.0,1.0,1.0,65000
Dagoretti North,"Gatundu Road, Kileleshwa",2.0,2.0,2.0,65000
Dagoretti North,"Chaka Road, Kilimani",2.0,2.0,1.0,65000
Dagoretti North,"Valley Arcade, Lavington",2.0,2.0,2.0,65000
Nyali,"801181, Jamuhuri road, Nyali Area",2000.0,3.0,2.0,65000
Dagoretti North,"kilimani, kilimani, Kilimani",2.0,2.0,2.0,65000
Dagoretti North,"lavington, lavington, Lavington",3.0,3.0,2.0,65000
Westlands,Waiyaki Way,2.0,2.0,2.0,65000
Westlands,Loresho,3.0,3.0,3.0,65000
Dagoretti North,Kilimani,2.0,2.0,,65000
Dagoretti North,Kileleshwa,2.0,2.0,2.0,65000
Dagoretti North,"Denis Pritt, Kilimani",2.0,2.0,,65000
Dagoretti North,"Hurlingham, Hurlingham",2.0,2.0,,65000
Dagoretti North,Kileleshwa,80.0,1.0,,65000
Westlands,Rhapta Road,3.0,3.0,2.0,65000
Westlands,Waiyaki Way,3.0,3.0,,65000
Westlands,"21 05 06, 29 RA, Westlands Area",157.0,2.0,1.0,65000
Langata,"langata, Langata Area",3.0,3.0,,65000
Dagoretti North,"Mbaazi, Mbaazi, Lavington",1.0,1.0,1.0,65000
Dagoretti North,"Mbaazi, Lavington",1.0,1.0,1.0,65000
Langata,Upper Hill,2.0,2.0,2.0,65000
Westlands,"wambugu road, 1st parkland, Parklands",127.0,2.0,2.0,65000
Dagoretti North,Kileleshwa,111.0,2.0,2.0,65000
Dagoretti North,Kilimani,100.0,1.0,1.0,65000
Westlands,"westlands, Westlands, Riverside",3.0,3.0,2.0,65000
Dagoretti North,"kileleshwa, kileleshwa, Kileleshwa",3.0,3.0,2.0,65000
Westlands,Waiyaki Way,3.0,3.0,3.0,65000
Mombasa Road,"Mombasa Road Next To Eka Hotel, Mombasa Road",1.0,1.0,,65000
Dagoretti North,"Vanga road, Valley arcade, Lavington",2.0,2.0,2.0,65000
Westlands,"Loresho, Westlands Area",2.0,2.0,2.0,65000
Dagoretti North,Lavington,2.0,2.0,,65000
Dagoretti North,"Kindaruma road, Kilimani",2.0,2.0,3.0,65000
Westlands,"Brookside Drive, Brookside",2.0,2.0,,65000
Nyali,Nyali Area,3.0,3.0,,65000
Dagoretti North,Valley Arcade,2.0,2.0,,65000
Dagoretti North,"Argwings Kodhek, Kilimani",2.0,2.0,2.0,65000
Dagoretti North,"Near Yaya Center, Kilimani",1.0,1.0,2.0,65000
Dagoretti North,"21 05 07, 20 RA, Lavington",177.0,3.0,3.0,65000
Westlands,"Mogotio Road, Westlands Area",3.0,3.0,3.0,65000
Ngong Road,Ngong Road,3.0,3.0,2.0,65000
Dagoretti North,"George Padmore lane, Kilimani",1.0,1.0,1.0,65000
Dagoretti North,"lavington, Lavington",1.0,1.0,1.0,65000
Dagoretti North,"kilimani, Kilimani, Kilimani",2.0,2.0,2.0,65000
Dagoretti North,"kilimani, Kilimani, Kilimani",3.0,3.0,2.0,65000
Nyali,"Light academy, Nyali road, Mkomani",2000.0,3.0,2.0,65000
Westlands,"Loresho, Westlands Area",2.0,2.0,,65000
Dagoretti North,"Lavington, Valley Arcade",2.0,2.0,2.0,65000
Dagoretti North,"Statehouse Cresent, Off Statehouse Road, State House",3.0,3.0,,65000
Thindigua,Thindigua,3.0,3.0,,65000
Dagoretti North,Kileleshwa,2.0,2.0,,65000
Westlands,"Loresho, Loresho",100.0,2.0,2.0,65000
Langata,Nairobi West,0.0,0.0,1.0,65000
Dagoretti North,Kilimani,105.0,2.0,,65000
Dagoretti North,"Lavington, Lavington, Lavington",3.0,3.0,,65000
Kiambu Road,"500Meters From Delta Petrol Station, Kiambu Road",3.0,3.0,1.0,66000
Ngong Road,"Ngong Racecourse, Ngong Road",117.0,3.0,2.0,66000
Westlands,Westlands Area,2300.0,3.0,3.0,67000
Dagoretti North,Kileleshwa,2.0,2.0,2.0,67000
Westlands,"Off Brookside Drive, Soorae Flats, Brookside",2.0,2.0,2.0,67500
Dagoretti North,"lavington, Lavington, Lavington",3.0,3.0,2.0,67500
Dagoretti North,Kileleshwa,3.0,3.0,2.0,68000
Dagoretti North,"Gathanju, Lavington",2.0,2.0,2.0,68000
Westlands,"Masari road, Parklands",2.0,2.0,2.0,69997
Dagoretti North,"Kikambala Road, Kileleshwa",2.0,2.0,2.0,70000
Dagoretti North,"Gatundu Close, Kileleshwa",2.0,2.0,,70000
Dagoretti North,Kilimani,2.0,2.0,,70000
Dagoretti North,Kilimani,3.0,3.0,3.0,70000
Dagoretti North,"kilimani, Kilimani, Kilimani",3.0,3.0,2.0,70000
Kiambu Road,"Fourways Junction Estate, Kiambu Road",120.0,3.0,2.0,70000
Kiambu Road,"Mocah Courtyard, Kiambu Road",3.0,3.0,3.0,70000
Kiambu Road,"FOURWAYS, Kiambu Road",3.0,3.0,2.0,70000
Kiambu Road,"Fourways junction, Kiambu Road",3.0,3.0,2.0,70000
Dagoretti North,"kilimani, kilimani, Kilimani",3.0,3.0,2.0,70000
Dagoretti North,"kileleshwa, kileleshwa, Kileleshwa",3.0,3.0,2.0,70000
Dagoretti North,Kilimani,3.0,3.0,2.0,70000
Dagoretti North,"Wood Avenue, Wood Avenue, Kilimani",3.0,3.0,2.0,70000
Roysambu,Kahawa West,3.0,3.0,2.0,70000
Westlands,Waiyaki Way,135.0,3.0,,70000
Dagoretti North,Lavington,2.0,2.0,2.0,70000
Dagoretti North,Valley Arcade,2.0,2.0,,70000
Thika Road,"Usiu Road, Thika Road",3.0,3.0,,70000
Dagoretti North,Kileleshwa,85.0,2.0,2.0,70000
Milimani,Milimani,2.0,2.0,3.0,70000
Westlands,Mountain View,3.0,3.0,2.0,70000
Kiambu Road,Kiambu Road,3.0,3.0,2.0,70000
Westlands,"21 05 07, 18 RA, Rhapta Road",149.0,2.0,2.0,70000
Dagoretti North,"Muringa groove, Muringa road, Kilimani",3.0,3.0,2.0,70000
Mvita,"Kizingo, Kizingo, kizingo",4.0,4.0,3.0,70000
Westlands,Westlands Area,2.0,2.0,3.0,70000
Dagoretti North,"Riara Road, Kilimani",3.0,3.0,,70000
Dagoretti North,"riara road, Kilimani",3.0,3.0,2.0,70000
Roysambu,"Near USIU, Safari park, Zimmermann",4.0,4.0,4.0,70000
Westlands,"Acacia Drive, Runda",2.0,2.0,,70000
Kiambaa,Ruaka,3.0,3.0,2.0,70000
Westlands,"Sibiloi , Ojijo, Parklands",6.0,2.0,2.0,70000
Dagoretti North,Lavington,3.0,3.0,,70000
Dagoretti North,"Valley Arcade, Lavington",125.0,3.0,2.0,70000
Nyali,"Nyali, Neen Road, Nyali Area",2160.0,3.0,4.0,70000
Dagoretti North,Kilimani,2.0,2.0,3.0,70000
Dagoretti North,"Laikipia road, Kileleshwa",2.0,2.0,2.0,70000
Westlands,Westlands Area,2.0,2.0,2.0,70000
Westlands,"Off Rapta Rd, Westlands Area",3.0,3.0,,70000
Dagoretti North,Kileleshwa,2.0,2.0,,70000
Dagoretti North,Kileleshwa,2.0,2.0,2.0,70000
Dagoretti North,Kileleshwa,3.0,3.0,2.0,70000
Dagoretti North,"Riara Rd, Lavington",3.0,3.0,3.0,70000
Westlands,"Rhapta Road, Westlands Area",2.0,2.0,3.0,70000
Westlands,"Rhapta Road, Rhapta Road",3.0,3.0,2.0,70000
Dagoretti North,Lavington,15.0,3.0,,70000
Dagoretti North,Kileleshwa,140.0,2.0,,70000
Dagoretti North,Kilimani,90.0,1.0,,70000
Ngong Road,"Mimosa, Ngong Road",3.0,3.0,2.0,70000
Westlands,"21 04 30, 43 RA, Waiyaki Way",177.0,3.0,3.0,70000
Dagoretti North,"kilimani, Kilimani, Kilimani",2.0,2.0,2.0,70000
Westlands,"East Church Road, Parklands",3.0,3.0,2.0,70000
Dagoretti North,Lavington,2.0,2.0,1.0,70000
Ngong Road,Ngong Road,113.0,3.0,2.0,70000
Westlands,"Wambugu rd, Parklands",3.0,3.0,2.0,70000
Dagoretti North,"Near Kenya High, Kileleshwa",1000.0,2.0,2.0,70000
Dagoretti North,"Denis pritt,Kilimani, Kilimani",100.0,2.0,2.0,70000
Dagoretti North,Lavington,1.0,1.0,1.0,70000
Dagoretti North,"Kandara Road, Kileleshwa",3.0,3.0,3.0,70000
Dagoretti North,"Near Valley Arcade Shopping Centre, Valley Arcade",3.0,3.0,2.0,70000
Kiambu Road,Kiambu Road,4.0,4.0,5.0,70000
Westlands,Westlands Area,2.0,2.0,,70000
Langata,Madaraka,4.0,4.0,5.0,70000
Dagoretti North,Kilimani,140.0,3.0,,70000
Dagoretti North,Kilimani,120.0,2.0,,70000
Kiambu Road,"Mocah Courtyard, Kiambu Road",3.0,3.0,3.0,72000
Dagoretti North,Kileleshwa,2.0,2.0,2.0,72500
Kisauni,"Shanzu, Shanzu",3.0,3.0,4.0,73000
Westlands,"Rhapta Road, Westlands Area",2.0,2.0,2.0,75000
Westlands,"21 04 20, 21 RA, Westlands Area",158.0,2.0,2.0,75000
Dagoretti North,Kilimani,3.0,3.0,2.0,75000
Dagoretti North,Dennis Pritt,3.0,3.0,2.0,75000
Dagoretti North,Kilimani,3.0,3.0,3.0,75000
Dagoretti North,"kileleshwa, Kileleshwa, Kileleshwa",2.0,2.0,2.0,75000
Dagoretti North,"lavington, Lavington, Lavington",2.0,2.0,2.0,75000
Dagoretti North,"kilimani, kilimani, Kilimani",3.0,3.0,2.0,75000
Westlands,"9 Riverside Drive, Riverside",2.0,2.0,2.0,75000
Dagoretti North,Lavington,3.0,3.0,3.0,75000
Dagoretti North,Kilimani,3.0,3.0,5.0,75000
Dagoretti North,Lavington,2.0,2.0,3.0,75000
Westlands,"Loresho, Westlands Area",3.0,3.0,3.0,75000
Dagoretti North,Kilimani,2.0,2.0,2.0,75000
Westlands,Westlands Area,3.0,3.0,3.0,75000
Westlands,Westlands Area,21780.0,2.0,2.0,75000
Dagoretti North,"1, Argwings Kodhek, Kilimani",70.0,1.0,1.0,75000
Dagoretti North,"kingara road, Lavington",4.0,4.0,3.0,75000
Dagoretti North,"Ring Road Kilimani, Kilimani",2.0,2.0,3.0,75000
Dagoretti North,Riara Road,3.0,3.0,2.0,75000
Dagoretti North,Riara Road,3.0,3.0,4.0,75000
Dagoretti North,"Gitanga Road, Lavington",3.0,3.0,,75000
Kiambu Road,"Fourways Junction Estate, Kiambu Road",120.0,4.0,3.0,75000
Dagoretti North,"Near Junctiona Mall, Kilimani",2.0,2.0,3.0,75000
Westlands,Waiyaki Way,3.0,3.0,,75000
Langata,"Miotoni West Road, Karen",1.0,1.0,,75000
Westlands,Rhapta Road,3.0,3.0,3.0,75000
Dagoretti North,Kilimani,3.0,3.0,,75000
Dagoretti North,"Ngong Rd, Kilimani",3.0,3.0,3.0,75000
Dagoretti North,Lavington,3.0,3.0,2.0,75000
Dagoretti North,Lavington,128.0,3.0,3.0,75000
Dagoretti North,Lavington,111.0,3.0,3.0,75000
Dagoretti North,Kilimani,120.0,2.0,2.0,75000
Westlands,Westlands Area,2.0,2.0,2.0,75000
Westlands,"Waiyaki Way- Waruku, Waruku, Waiyaki Way",125.0,3.0,3.0,75000
Dagoretti North,"Parklane Place, Kandara Road, Kileleshwa",115.0,3.0,2.0,75000
Westlands,"riverside, Riverside, Riverside",3.0,3.0,2.0,75000
Dagoretti North,"lavington, Lavington, Lavington",3.0,3.0,2.0,75000
Dagoretti North,"kilimani, kilimani, Kilimani",2.0,2.0,2.0,75000
Westlands,"riverside, riverside, Riverside",3.0,3.0,2.0,75000
Dagoretti North,"lavington, lavington, Lavington",3.0,3.0,3.0,75000
Dagoretti North,"Argwings Kodhek Road, Kilimani",3.0,3.0,,75000
Westlands,"Ojijo, Parklands",2.0,2.0,1.0,75000
Westlands,"9 Riverside Drive, Riverside",2.0,2.0,3.0,75000
Dagoretti North,"Riara Downs Apartments, Riara Road",4.0,4.0,3.0,75000
Dagoretti North,"Denis Pritt, Kilimani",3.0,3.0,,75000
Dagoretti North,"Hatheru Road, Lavington",3.0,3.0,2.0,75000
Kajiado North,Kitengela,2.0,2.0,2.0,75000
Dagoretti North,"Yaya Center, Kilimani",2.0,2.0,2.0,75000
Dagoretti North,"Riara Rd, Lavington",2.0,2.0,3.0,75000
Westlands,"Mvuli Road, Westlands Area",2.0,2.0,,75000
Dagoretti North,"Mandera road, Kileleshwa",2.0,2.0,2.0,75000
Dagoretti North,Lavington,2.0,2.0,2.0,75000
Westlands,"Mogotio Road, Westlands Area",158.0,2.0,2.0,75000
Dagoretti North,Kilimani,1250.0,2.0,2.0,75000
Dagoretti North,"lavington, Lavington, Lavington",3.0,3.0,3.0,75000
Dagoretti North,"kilimani, Kilimani, Kilimani",3.0,3.0,2.0,75000
Dagoretti North,"kilimani, kilimani, Kilimani",4.0,4.0,4.0,75000
Westlands,Riverside,2.0,2.0,,75000
Dagoretti North,Kileleshwa,3.0,3.0,3.0,75000
Dagoretti North,"1, Killimani, Kilimani",2.0,2.0,2.0,75000
Dagoretti North,Kilimani,2.0,2.0,1.0,75000
Dagoretti North,Kilimani,2.0,2.0,,75000
Dagoretti North,"Hatheru Rd, Lavington",3.0,3.0,5.0,75000
Dagoretti North,Kileleshwa,2.0,2.0,3.0,75000
Dagoretti North,"Argwing kodhek road, Lavington, Lavington",3.0,3.0,2.0,75000
Dagoretti North,"Riara Road, Kilimani",3.0,3.0,,75000
Dagoretti North,Kilimani,2.0,2.0,3.0,75000
Kiambu Road,"Fourways Junction Estate, Kiambu Road",4.0,4.0,3.0,75000
Dagoretti North,"Kabaseriani, Lavington",3.0,3.0,3.0,75000
Dagoretti North,"Chelezo House Kindaruma Rd, Kilimani",2.0,2.0,2.0,75000
Dagoretti North,"Off Gitanga Road, Valley Arcade",3.0,3.0,2.0,75000
Dagoretti North,"Naivasha, Naivasha Road",3.0,3.0,2.0,75000
Dagoretti North,Lavington,2.0,2.0,,75000
Westlands,Westlands Area,3.0,3.0,4.0,75000
Dagoretti North,Kileleshwa,3.0,3.0,,75000
Westlands,Riverside,1.0,1.0,,75000
Westlands,Rhapta Road,4.0,4.0,,75000
Dagoretti North,"Kingara Road, Lavington",3.0,3.0,3.0,75000
Dagoretti North,"Gitanga Road, Lavington",3.0,3.0,2.0,75000
Dagoretti North,Lavington,3.0,3.0,,75000
Westlands,Parklands,2.0,2.0,2.0,75000
Westlands,"Off Rhapta Road, Rhapta Road",3.0,3.0,2.0,75000
Dagoretti North,Lavington,3.0,3.0,4.0,76000
Westlands,"21 05 05, 41 RA, Westlands Area",371.0,3.0,3.0,77000
Dagoretti North,"Ole Dume, Ole Dume, Kilimani",3.0,3.0,3.0,77000
Dagoretti North,"Lenana rd,Kilimani, Kilimani",123.0,2.0,2.0,78000
Dagoretti North,Kilimani,2.0,2.0,,78000
Dagoretti North,Kilimani,3.0,3.0,2.0,78000
Dagoretti North,Kileleshwa,3.0,3.0,2.0,79000
Dagoretti North,Riara Road,150.0,3.0,3.0,80000
Dagoretti North,"Mbaazi, Mbaazi, Lavington",2.0,2.0,2.0,80000
Dagoretti North,"Lenana, Kilimani",2.0,2.0,3.0,80000
Westlands,Rhapta Road,3.0,3.0,,80000
Westlands,Rhapta Road,3.0,3.0,3.0,80000
Dagoretti North,"Riara Road, Lavington",3.0,3.0,4.0,80000
Dagoretti North,"Parklane Place, Kandara Rod, Kileleshwa",125.0,4.0,3.0,80000
Dagoretti North,Kilimani,3.0,3.0,2.0,80000
Dagoretti North,"lavington, lavington, Lavington",3.0,3.0,2.0,80000
Dagoretti North,"kilimani, Kilimani, Kilimani",3.0,3.0,3.0,80000
Dagoretti North,"kilimani, Kilimani, Kilimani",4.0,4.0,4.0,80000
Dagoretti North,"kilimani, kilimani, Kilimani",2.0,2.0,2.0,80000
Dagoretti North,"lavigton, lavington, Lavington",3.0,3.0,2.0,80000
Westlands,"Rhapta road, Rhapta Road",3.0,3.0,3.0,80000
Dagoretti North,"Muringa Road, Kilimani",1.0,1.0,1.0,80000
Dagoretti North,"Oloitoktok road, Kikambala Road, Kileleshwa",1.0,1.0,,80000
Westlands,"Loresho Apartment, Westlands Area",3.0,3.0,3.0,80000
Westlands,Westlands Area,3.0,3.0,3.0,80000
Westlands,Westlands Area,186.0,3.0,2.0,80000
Westlands,"Riverside Drive, Riverside",3.0,3.0,,80000
Westlands,"Off Rapta Rd, Westlands Area",2.0,2.0,,80000
Westlands,Nyari,1.0,1.0,1.0,80000
Muthaiga,Old Muthaiga,2.0,2.0,2.0,80000
Dagoretti North,Kilimani,2.0,2.0,2.0,80000
Dagoretti North,Kileleshwa,1.0,1.0,,80000
Dagoretti North,Kilimani,3.0,3.0,,80000
Dagoretti North,"Kandara road, Kileleshwa",170.0,3.0,4.0,80000
Mombasa CBD,"shanzu, shanzu, Mombasa CBD",264.0,3.0,4.0,80000
Dagoretti North,Kileleshwa,3.0,3.0,3.0,80000
Dagoretti North,Kileleshwa,3.0,3.0,4.0,80000
Westlands,Rhapta Road,2.0,2.0,2.0,80000
Dagoretti North,Kileleshwa,2.0,2.0,,80000
Dagoretti North,"Riara, Lavington",2.0,2.0,2.0,80000
Dagoretti North,"kilimani, Kilimani, Kilimani",2.0,2.0,2.0,80000
Langata,Upper Hill,3.0,3.0,4.0,80000
Langata,"Karen, Karen",1000.0,3.0,2.0,80000
Dagoretti North,"1, Ngong Road, Lavington",13.0,2.0,3.0,80000
Dagoretti North,"1, Elgeyo Road , Kilimani",15.0,3.0,3.0,80000
Dagoretti North,"kileleshwa, Kileleshwa",3.0,3.0,3.0,80000
Dagoretti North,"Mandera Road, Kileleshwa",85.0,2.0,3.0,80000
Dagoretti North,"hatheru road, Lavington",3.0,3.0,4.0,80000
Westlands,Riverside,2.0,2.0,,80000
Ruaraka,"Morningside Apartment Next To Usiu, Ruaraka",4.0,4.0,1.0,80000
Dagoretti North,"Muringa road, Kilimani",1.0,1.0,2.0,80000
Dagoretti North,Kilimani,1.0,1.0,1.0,80000
Westlands,Westlands Area,21780.0,2.0,2.0,80000
Westlands,"Sunny Side Apartment, Loresho",3.0,3.0,3.0,80000
Kiambaa,"Ruaka, Ruaka",3.0,3.0,3.0,80000
Westlands,Riverside,3.0,3.0,,80000
Dagoretti North,Lavington,2.0,2.0,,80000
Dagoretti North,"Dennis Pritt road, Dennis Pritt Road, Kilimani",130.0,2.0,,80000
Dagoretti North,"Kingara Road, Lavington",220.0,3.0,3.0,80000
Westlands,Westlands Area,3.0,3.0,2.0,80000
Kiambaa,Ruaka,4.0,4.0,3.0,80000
Dagoretti North,Lavington,3.0,3.0,2.0,80000
Dagoretti North,"Kirichwa Road, Kilimani",2024.0,3.0,2.0,80000
Dagoretti North,"1, Kilimani, Kilimani",2.0,2.0,2.0,80000
Dagoretti North,"Lenana road, Kilimani",2.0,2.0,2.0,80000
Dagoretti North,"kileleshwa, Kileleshwa, Kileleshwa",2.0,2.0,2.0,80000
Dagoretti North,"lavington, Lavington, Lavington",3.0,3.0,2.0,80000
Dagoretti North,"KILIMANI, WOOD AVENUE, Kilimani",2.0,2.0,2.0,80000
Westlands,"rhapta road, Rhapta Road",3.0,3.0,3.0,80000
Dagoretti North,"kilimani, kilimani, Kilimani",114.0,2.0,2.0,80000
Dagoretti North,Kilimani,3.0,3.0,4.0,80000
Dagoretti North,"Lenana Road, Kilimani",3.0,3.0,4.0,80000
Ngong Road,Ngong Road,2.0,2.0,,80000
Dagoretti North,Lavington,3.0,3.0,3.0,80000
Dagoretti North,"Lenana Road, Kilimani",2.0,2.0,3.0,80000
Dagoretti North,Kilimani,4.0,4.0,,80000
